iter	Passed	Remaining
957	2596	113
958	2598	111
959	2601	108
960	2603	105
961	2606	102
962	2609	100
963	2611	97
964	2614	94
965	2617	92
966	2619	89
967	2622	86
968	2624	83
969	2627	81
970	2630	78
971	2633	75
972	2636	73
973	2638	70
974	2641	67
975	2643	65
976	2646	62
977	2650	59
978	2653	56
979	2656	54
980	2659	51
981	2661	48
982	2664	46
983	2667	43
984	2669	40
985	2672	37
986	2675	35
987	2677	32
988	2680	29
989	2683	27
990	2685	24
991	2688	21
992	2691	18
993	2693	16
994	2696	13
995	2699	10
996	2702	8
997	2704	5
998	2707	2
999	2709	0
